,Species,Country,Latitude,Longitude,Number of endangered indigenous species,Total number of known species,Number of critically endangered indigenous species,Number of endangered species,Number of vulnerable species,Threatened species as % of known species,Total number of indigenous threatened species,Threatened indigenous species as % of indigenous spec.,Total number of indigenous known species,Total number of threatened species,Number of vulnerable indigenous species,Number of critically endangered species
2198,Freshwater Fish,Mexico,23.634501,-102.552784,39.0,505.0,3.0,74.0,65.0,30.693,70.0,46.713,289.0,152.0,28.0,13.0
2202,Invertebrates,Mexico,23.634501,-102.552784,20.0,,1.0,24.0,26.0,,39.0,,,51.0,18.0,1.0
2207,Mosses,Mexico,23.634501,-102.552784,0.0,1000.0,0.0,0.0,2.0,,0.0,,77.0,2.0,0.0,0.0
2226,Mosses,Netherlands,52.132633,5.291266,27.0,517.0,52.0,27.0,43.0,23.598,122.0,23.598,517.0,122.0,43.0,52.0
2227,Lichens,Netherlands,52.132633,5.291266,42.0,683.0,49.0,42.0,65.0,22.84,156.0,22.84,683.0,156.0,65.0,49.0
2228,Invertebrates,Netherlands,52.132633,5.291266,60.0,507.0,51.0,60.0,51.0,31.953,162.0,31.953,507.0,162.0,51.0,51.0
2246,Invertebrates,New Zealand,-40.900557,174.885971,62.0,33000.0,133.0,62.0,71.0,0.806,266.0,0.866,30700.0,266.0,71.0,133.0
2247,Mosses,New Zealand,-40.900557,174.885971,4.0,,14.0,4.0,2.0,,20.0,3.81,525.0,20.0,2.0,14.0
2248,Lichens,New Zealand,-40.900557,174.885971,2.0,,6.0,2.0,8.0,,16.0,0.79,2026.0,16.0,8.0,6.0
2278,Mosses,Norway,60.472024,8.468946,61.0,1085.0,22.0,61.0,59.0,13.088,142.0,13.112,1083.0,142.0,59.0,22.0
